LAMMPS Description

     496  atoms
     352  bonds
     280  angles
     144  dihedrals
     0  impropers

     5  atom types
     3  bond types
     4  angle types
     2  dihedral types

  -0.1731 17.4831 xlo xhi
  -0.1731 17.4831 ylo yhi
  -0.1731 17.4831 zlo zhi

Masses

1 15.999  # 65
2 1.008  # 66
3 12.011  # 80
4 12.011  # 81
5 1.008  # 85

Atoms  # full

105 35 2 0.0 12.90734 8.99441 17.01369
106 36 1 0.0 8.53121 13.9656 13.98761
107 36 2 0.0 8.89891 13.5635 14.7746
108 36 2 0.0 8.55663 13.27135 13.32912
109 37 1 0.0 9.59189 12.87594 16.33288
110 37 2 0.0 10.39794 13.24711 16.6917
111 37 2 0.0 9.81892 11.97105 16.11872
112 38 1 0.0 15.71263 10.25237 10.25237
113 38 2 0.0 14.79478 10.10734 10.02268
114 38 2 0.0 15.87752 11.16543 10.01705
115 39 1 0.0 16.31571 9.64929 12.8937
116 39 2 0.0 16.11118 9.86664 11.98422
117 39 2 0.0 16.68533 10.45466 13.25562
118 40 1 0.0 16.37311 12.87594 9.63213
119 40 2 0.0 15.57951 13.33442 9.35602
120 40 2 0.0 16.64109 13.32245 10.43528
121 41 1 0.0 14.04646 14.01471 8.58016
122 41 2 0.0 13.35308 13.35482 8.5826
123 41 2 0.0 13.63522 14.7963 8.94925
124 42 1 0.0 10.25237 15.71263 10.25237
125 42 2 0.0 11.15567 15.93656 10.02844
126 42 2 0.0 9.71933 16.27481 9.69019
127 43 1 0.0 9.64929 16.31571 12.8937
128 43 2 0.0 9.27152 15.5136 13.25446
129 43 2 0.0 9.85323 16.09707 11.98439
130 44 1 0.0 12.8937 16.31571 9.64929
131 44 2 0.0 12.9066 17.01388 8.99459
132 44 2 0.0 13.24878 16.72167 10.44008
133 45 1 0.0 7.05763 7.05763 15.71263
134 45 2 0.0 7.26711 7.27823 14.80506
135 45 2 0.0 7.62476 7.62521 16.2346
136 46 1 0.0 3.33321 8.7438 13.97679
137 46 2 0.0 3.60579 8.29073 14.7747
138 46 2 0.0 2.5353 8.29073 13.70421
139 47 1 0.0 4.4163 7.66071 16.31571
140 47 2 0.0 4.05438 6.85534 16.68533
141 47 2 0.0 5.32578 7.44336 16.11118
142 48 1 0.0 8.77879 3.34441 13.98761
143 48 2 0.0 8.33196 3.61954 14.78816
144 48 2 0.0 8.31747 2.55096 13.71586
145 49 1 0.0 7.71811 4.43406 16.33288
146 49 2 0.0 6.91206 4.06289 16.6917
147 49 2 0.0 7.49108 5.33895 16.11872
148 50 1 0.0 1.59737 1.59737 15.71263
149 50 2 0.0 1.43248 2.51042 15.94795
150 50 2 0.0 2.51522 1.45234 15.94232
151 51 1 0.0 0.99429 0.99429 13.0713
152 51 2 0.0 0.62467 1.79966 12.70938
153 51 2 0.0 1.19882 1.21164 13.98078
154 52 1 0.0 4.2387 0.99429 16.31571
155 52 2 0.0 4.59378 0.58833 15.52492
156 52 2 0.0 4.2516 0.29612 16.9704
157 53 1 0.0 0.93689 4.22094 16.33288
158 53 2 0.0 1.74161 4.66336 16.60293
159 53 2 0.0 0.67474 4.66932 15.52885
160 54 1 0.0 7.05763 1.59737 10.25237
161 54 2 0.0 7.59067 1.03519 9.69019
162 54 2 0.0 6.15433 1.37344 10.02844
163 55 1 0.0 7.66071 0.99429 12.8937
164 55 2 0.0 8.33726 0.31774 12.86551
165 55 2 0.0 7.47179 1.18321 11.97454
166 56 1 0.0 4.4163 0.99429 9.64929
167 56 2 0.0 3.95982 1.79483 9.39044
168 56 2 0.0 3.98001 0.71929 10.45568
169 57 1 0.0 3.32578 3.34106 8.5909
170 57 2 0.0 4.00494 4.01486 8.55977
171 57 2 0.0 3.13755 3.14743 7.67258
172 58 1 0.0 1.59737 7.05763 10.25237
173 58 2 0.0 1.3601 6.1576 10.02904
174 58 2 0.0 1.03889 7.59862 9.6941
175 59 1 0.0 0.99429 7.66071 12.8937
176 59 2 0.0 1.18321 7.47179 11.97454
177 59 2 0.0 0.31774 8.33726 12.86551
178 60 1 0.0 0.93689 4.43406 9.63213
179 60 2 0.0 1.73034 4.05962 9.24942
180 60 2 0.0 0.29735 4.42012 8.92008
181 61 1 0.0 7.05763 15.71263 7.05763
182 61 2 0.0 6.14021 15.93879 7.2107
183 61 2 0.0 7.2107 15.93879 6.14021
184 62 1 0.0 7.66071 16.31571 4.4163
185 62 2 0.0 8.35869 16.97059 4.40266
186 62 2 0.0 8.06054 15.53098 4.04138
187 63 1 0.0 4.4163 16.31571 7.66071
188 63 2 0.0 4.03818 15.5301 8.05577
189 63 2 0.0 4.40081 16.96784 8.36122
190 64 1 0.0 8.7438 13.97679 3.33321
191 64 2 0.0 8.7309 13.27862 3.98791
192 64 2 0.0 8.38872 13.57083 2.54242
193 65 1 0.0 3.32578 13.96894 8.7191
194 65 2 0.0 2.53558 13.56369 8.36192
195 65 2 0.0 3.97867 13.269 8.71198
196 66 1 0.0 1.59737 10.25237 7.05763
197 66 2 0.0 2.51469 10.10393 7.28723
198 66 2 0.0 1.43557 11.16569 7.29405
199 67 1 0.0 0.99429 9.64929 4.4163
